source,company,location,team_size,url,linkedin_search
YC,Vooma,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/vooma,https://www.linkedin.com/search/results/people/?keywords=Vooma%20founder
YC,Haven,,3,https://www.ycombinator.com/companies/haven-2,https://www.linkedin.com/search/results/people/?keywords=Haven%20founder
YC,Dream3D,"New York, NY, USA",3,https://www.ycombinator.com/companies/dream3d,https://www.linkedin.com/search/results/people/?keywords=Dream3D%20founder
YC,Hindsight,"New York, NY, USA",3,https://www.ycombinator.com/companies/hindsight,https://www.linkedin.com/search/results/people/?keywords=Hindsight%20founder
YC,Social Radar,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/social-radar,https://www.linkedin.com/search/results/people/?keywords=Social%20Radar%20founder
YC,Type,"New York, NY, USA",3,https://www.ycombinator.com/companies/type,https://www.linkedin.com/search/results/people/?keywords=Type%20founder
YC,Clearest Health,"New York, NY, USA",3,https://www.ycombinator.com/companies/clearest-health,https://www.linkedin.com/search/results/people/?keywords=Clearest%20Health%20founder
YC,Accend,,3,https://www.ycombinator.com/companies/accend,https://www.linkedin.com/search/results/people/?keywords=Accend%20founder
YC,PropRise,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/proprise,https://www.linkedin.com/search/results/people/?keywords=PropRise%20founder
YC,SuperCraft,"New York, NY, USA",3,https://www.ycombinator.com/companies/supercraft,https://www.linkedin.com/search/results/people/?keywords=SuperCraft%20founder
YC,Menza,Remote,3,https://www.ycombinator.com/companies/menza,https://www.linkedin.com/search/results/people/?keywords=Menza%20founder
YC,CambioML,,3,https://www.ycombinator.com/companies/cambioml,https://www.linkedin.com/search/results/people/?keywords=CambioML%20founder
YC,Waldium,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/waldium,https://www.linkedin.com/search/results/people/?keywords=Waldium%20founder
YC,Goldbridge,,3,https://www.ycombinator.com/companies/goldbridge,https://www.linkedin.com/search/results/people/?keywords=Goldbridge%20founder
YC,Maihem,"London, England, United Kingdom",3,https://www.ycombinator.com/companies/maihem,https://www.linkedin.com/search/results/people/?keywords=Maihem%20founder
YC,Poka Labs,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/poka-labs,https://www.linkedin.com/search/results/people/?keywords=Poka%20Labs%20founder
YC,Assembly,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/assembly-2,https://www.linkedin.com/search/results/people/?keywords=Assembly%20founder
YC,Avery,"Austin, TX, USA",3,https://www.ycombinator.com/companies/avery,https://www.linkedin.com/search/results/people/?keywords=Avery%20founder
YC,Yoneda Labs,,3,https://www.ycombinator.com/companies/yoneda-labs,https://www.linkedin.com/search/results/people/?keywords=Yoneda%20Labs%20founder
YC,CloudCruise,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/cloudcruise,https://www.linkedin.com/search/results/people/?keywords=CloudCruise%20founder
YC,Scout,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/cpgscout,https://www.linkedin.com/search/results/people/?keywords=Scout%20founder
YC,14.ai,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/14-ai,https://www.linkedin.com/search/results/people/?keywords=14.ai%20founder
YC,Draftaid,"Toronto, ON, Canada",3,https://www.ycombinator.com/companies/draftaid,https://www.linkedin.com/search/results/people/?keywords=Draftaid%20founder
YC,Bilanc,,3,https://www.ycombinator.com/companies/bilanc,https://www.linkedin.com/search/results/people/?keywords=Bilanc%20founder
YC,Voicepanel,,3,https://www.ycombinator.com/companies/voicepanel,https://www.linkedin.com/search/results/people/?keywords=Voicepanel%20founder
YC,DianaHR,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/dianahr,https://www.linkedin.com/search/results/people/?keywords=DianaHR%20founder
YC,xPay,,3,https://www.ycombinator.com/companies/xpay,https://www.linkedin.com/search/results/people/?keywords=xPay%20founder
YC,Blacksmith,,3,https://www.ycombinator.com/companies/blacksmith,https://www.linkedin.com/search/results/people/?keywords=Blacksmith%20founder
YC,InspectMind AI,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/inspectmind-ai,https://www.linkedin.com/search/results/people/?keywords=InspectMind%20AI%20founder
YC,Reprompt,,3,https://www.ycombinator.com/companies/reprompt,https://www.linkedin.com/search/results/people/?keywords=Reprompt%20founder
YC,Apten,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/apten,https://www.linkedin.com/search/results/people/?keywords=Apten%20founder
YC,Leeroo,,3,https://www.ycombinator.com/companies/leeroo,https://www.linkedin.com/search/results/people/?keywords=Leeroo%20founder
YC,Cloudglue,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/cloudglue,https://www.linkedin.com/search/results/people/?keywords=Cloudglue%20founder
YC,Elevate,"New York, NY, USA",3,https://www.ycombinator.com/companies/elevate-2,https://www.linkedin.com/search/results/people/?keywords=Elevate%20founder
YC,Dodo,,3,https://www.ycombinator.com/companies/dodo,https://www.linkedin.com/search/results/people/?keywords=Dodo%20founder
YC,"Hestus, Inc.",,3,https://www.ycombinator.com/companies/hestus-inc,https://www.linkedin.com/search/results/people/?keywords=Hestus%2C%20Inc.%20founder
YC,Planbase,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/planbase,https://www.linkedin.com/search/results/people/?keywords=Planbase%20founder
YC,Dimely,,3,https://www.ycombinator.com/companies/dimely,https://www.linkedin.com/search/results/people/?keywords=Dimely%20founder
YC,Conductor Quantum,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/conductor-quantum,https://www.linkedin.com/search/results/people/?keywords=Conductor%20Quantum%20founder
YC,RentFlow,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/rentflow,https://www.linkedin.com/search/results/people/?keywords=RentFlow%20founder
YC,"Diode Computers, Inc.","New York, NY, USA",3,https://www.ycombinator.com/companies/diode-computers-inc,https://www.linkedin.com/search/results/people/?keywords=Diode%20Computers%2C%20Inc.%20founder
YC,XTraffic,,3,https://www.ycombinator.com/companies/xtraffic,https://www.linkedin.com/search/results/people/?keywords=XTraffic%20founder
YC,Midship,,3,https://www.ycombinator.com/companies/midship,https://www.linkedin.com/search/results/people/?keywords=Midship%20founder
YC,PathPilot,"San Jose, CA, USA",3,https://www.ycombinator.com/companies/pathpilot,https://www.linkedin.com/search/results/people/?keywords=PathPilot%20founder
YC,Raycaster,"New York, NY, USA",3,https://www.ycombinator.com/companies/raycaster,https://www.linkedin.com/search/results/people/?keywords=Raycaster%20founder
